City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,49.91,59,78,21.39,SH,1696304844
1,bredasdorp,-34.5322,20.0403,54.64,95,4,4.21,ZA,1696304844
2,bilibino,68.0546,166.4372,22.96,95,90,2.01,RU,1696304844
3,constantia,44.1833,28.65,52.7,57,1,8.43,RO,1696304845
4,bethel,41.3712,-73.414,61.65,88,0,3.44,US,1696304762
5,tura,25.5198,90.2201,82.15,78,26,4.97,IN,1696304845
6,adamstown,-25.066,-130.1015,68.16,76,54,22.82,PN,1696304618
7,margaret river,-33.95,115.0667,58.98,60,89,10.07,AU,1696304845
8,qamdo,31.1667,97.2333,56.86,39,9,4.83,CN,1696304845
9,port mathurin,-19.6833,63.4167,74.5,80,19,14.45,MU,1696304845
10,ushuaia,-54.8,-68.3,42.46,75,40,4.61,AR,1696304759
11,vorgashor,67.5833,63.95,34.07,80,57,17.83,RU,1696304846
12,kununurra,-15.7667,128.7333,100.38,30,1,8.05,AU,1696304624
13,upper grand lagoon,30.1633,-85.7408,75.22,68,0,5.75,US,1696304846
14,aswan,24.0934,32.907,79.9,38,0,11.5,EG,1696304846
15,tiksi,71.6872,128.8694,28.2,83,87,16.84,RU,1696304846
16,invercargill,-46.4,168.35,61.02,51,13,5.01,NZ,1696304846
17,katima mulilo,-17.5,24.2667,68.4,58,7,8.34,NA,1696304847
18,puerto natales,-51.7236,-72.4875,37.42,95,100,4.63,CL,1696304847
19,garissa,-0.4536,39.6401,75.43,78,49,14.32,KE,1696304847
20,kodiak,57.79,-152.4072,44.11,49,0,8.05,US,1696304847
21,saint-joseph,-21.3667,55.6167,76.48,75,5,1.92,RE,1696304847
22,ilulissat,69.2167,-51.1,26.62,36,0,21.85,GL,1696304847
23,synel'nykove,48.3204,35.5179,48.97,67,6,9.13,UA,1696304848
24,axim,4.8699,-2.2405,77.43,87,98,8.99,GH,1696304848
25,qaqortoq,60.7167,-46.0333,37.29,90,100,3.49,GL,1696304848
26,macapa,0.0389,-51.0664,82.38,78,0,8.05,BR,1696304848
27,yellowknife,62.456,-114.3525,48.42,99,100,2.3,CA,1696304663
28,slagelse,55.4028,11.3546,61.45,100,100,8.75,DK,1696304848
29,zavodoukovsk,56.5042,66.5515,50.86,61,100,10.94,RU,1696304849
30,taos,36.4072,-105.5731,54.0,79,100,8.05,US,1696304849
31,praia da vitoria,38.7333,-27.0667,66.76,88,20,12.03,PT,1696304849
32,happy valley-goose bay,53.3168,-60.3315,43.11,65,100,5.75,CA,1696304849
33,hawaiian paradise park,19.5933,-154.9731,78.31,88,100,1.99,US,1696304849
34,monchegorsk,67.9397,32.8739,37.76,98,100,6.6,RU,1696304743
35,uturoa,-16.7333,-151.4333,78.28,84,2,14.99,PF,1696304850
36,alice springs,-23.7,133.8833,96.35,13,40,14.97,AU,1696304850
37,port-aux-francais,-49.35,70.2167,36.39,80,71,32.5,TF,1696304850
38,indramayu,-6.3264,108.32,86.04,54,100,10.63,ID,1696304850
39,mount pearl,47.5166,-52.7813,47.07,97,0,3.44,CA,1696304850
40,salinas,36.6777,-121.6555,61.05,85,40,6.91,US,1696304651
41,papatowai,-46.5619,169.4708,56.64,44,4,10.78,NZ,1696304851
42,stanley,54.868,-1.6985,48.22,92,20,11.5,GB,1696304851
43,avarua,-21.2078,-159.775,71.65,64,75,13.8,CK,1696304851
44,erenhot,43.6475,111.9767,58.42,32,28,10.87,CN,1696304851
45,ust-nera,64.5667,143.2,35.22,68,27,3.0,RU,1696304851
46,dolgorukovo,52.3195,38.3453,48.11,85,10,6.44,RU,1696304851
47,wailua homesteads,22.0669,-159.378,81.03,82,40,8.05,US,1696304852
48,grytviken,-54.2811,-36.5092,33.66,65,98,10.36,GS,1696304852
49,vilppula,62.0212,24.5048,52.14,94,99,8.1,FI,1696304852
50,klyuchi,52.2667,79.1667,48.34,39,16,9.93,RU,1696304852
51,chibougamau,49.9168,-74.3659,62.22,94,100,9.22,CA,1696304839
52,iskateley,67.6803,53.1512,39.02,78,62,21.0,RU,1696304852
53,college,64.8569,-147.8028,37.38,65,20,13.8,US,1696304852
54,punta arenas,-53.15,-70.9167,42.91,81,75,16.11,CL,1696304776
55,olonkinbyen,70.9221,-8.7187,37.27,89,76,15.21,SJ,1696304853
56,jamestown,42.097,-79.2353,64.04,89,0,1.01,US,1696304625
57,szczecinek,53.7079,16.6994,58.44,79,83,7.25,PL,1696304640
58,waitangi,-43.9535,-176.5597,45.82,89,97,15.01,NZ,1696304853
59,verkhnevilyuysk,63.4453,120.3167,30.94,77,70,4.0,RU,1696304853
60,mao,39.8885,4.2658,68.56,94,0,4.61,ES,1696304854
61,auki,-8.7676,160.7034,82.44,78,93,5.23,SB,1696304854
62,kailua-kona,19.6406,-155.9956,82.36,81,0,8.05,US,1696304854
63,whitehorse,60.7161,-135.0538,48.97,66,75,18.41,CA,1696304782
64,ulsteinvik,62.3432,5.8487,54.75,85,92,5.99,NO,1696304854
65,termas de rio hondo,-27.4998,-64.8604,72.66,45,0,6.55,AR,1696304854
66,whakatane,-37.9585,176.9854,62.51,52,77,8.01,NZ,1696304855
67,griffith,41.5284,-87.4237,73.33,88,0,0.0,US,1696304855
68,tolanaro,-25.0319,46.9987,64.47,77,75,6.91,MG,1696304855
69,greenville,35.6127,-77.3663,65.14,86,0,0.0,US,1696304600
70,polyarnyy,69.1989,33.4478,35.4,76,100,6.44,RU,1696304855
71,tofol,5.3248,163.0078,84.45,68,25,3.69,FM,1696304855
72,rio grande,-32.035,-52.0986,51.94,87,19,8.9,BR,1696304856
73,brzozow,49.695,22.0193,56.84,68,100,8.59,PL,1696304856
74,jwaneng,-24.6004,24.7303,54.37,69,0,18.92,BW,1696304856
75,albany,42.6001,-73.9662,58.53,89,10,1.01,US,1696304719
76,tanah merah,5.8,102.15,85.82,76,98,0.4,MY,1696304856
77,iqaluit,63.7506,-68.5145,37.13,86,100,11.99,CA,1696304856
78,blackmans bay,-43.0167,147.3167,64.53,50,76,8.32,AU,1696304857
79,rio gallegos,-51.6226,-69.2181,48.25,49,0,9.22,AR,1696304857
80,kwaksan,39.6875,125.0828,68.72,52,100,8.08,KP,1696304857
81,acapulco de juarez,16.8634,-99.8901,85.82,79,100,5.75,MX,1696304857
82,newman,37.3138,-121.0208,71.58,55,35,4.0,US,1696304857
83,kantharalak,14.6406,104.6499,87.96,77,98,3.47,TH,1696304857
84,hamilton,39.1834,-84.5333,69.84,82,0,0.0,US,1696304785
85,fale old settlement,-9.3852,-171.2468,83.8,74,95,14.99,TK,1696304858
86,ribeira grande,38.5167,-28.7,68.14,67,7,7.45,PT,1696304858
87,hermanus,-34.4187,19.2345,57.6,91,12,3.15,ZA,1696304858
88,manokwari,-0.8667,134.0833,82.96,71,78,5.61,ID,1696304858
89,puerto ayora,-0.7393,-90.3518,73.54,98,86,5.01,EC,1696304858
90,kapuskasing,49.4169,-82.4331,68.09,77,75,4.61,CA,1696304762
91,rongelap,11.1635,166.8941,84.47,77,58,14.03,MH,1696304859
92,labytnangi,66.6572,66.4183,36.05,67,16,15.59,RU,1696304859
93,dudinka,69.4058,86.1778,34.63,96,100,23.0,RU,1696304859
94,chicoana,-25.1009,-65.5331,61.05,43,0,3.29,AR,1696304859
95,lihue,21.9789,-159.3672,81.64,77,40,8.05,US,1696304860
96,mokhotlong,-29.2894,29.0675,48.99,50,0,0.92,LS,1696304860
97,longyearbyen,78.2186,15.6401,26.44,63,75,16.11,SJ,1696304860
98,cockburn town,21.4612,-71.1419,83.59,76,44,14.36,TC,1696304860
99,geraldton,-28.7667,114.6,72.01,37,38,12.66,AU,1696304860
100,palmas,-10.2128,-48.3603,82.27,69,20,3.44,BR,1696304860
101,novodvinsk,64.4165,40.8122,37.78,84,100,8.03,RU,1696304860
102,siem reap,13.5,104.0,78.55,91,100,3.6,KH,1696304861
103,kruisfontein,-34.0033,24.7314,60.37,50,0,7.54,ZA,1696304861
104,lata,40.1629,-8.3327,61.92,96,11,3.09,PT,1696304861
105,swakopmund,-22.6833,14.5333,54.99,90,6,4.12,NA,1696304861
106,linxi,39.7,118.4333,75.85,35,6,13.09,CN,1696304861
107,hotan,37.0997,79.9269,70.11,16,91,5.68,CN,1696304862
108,teguise,29.0605,-13.564,75.42,50,0,16.11,ES,1696304862
109,barranca,-10.75,-77.7667,65.35,90,96,8.46,PE,1696304862
110,touros,-5.1989,-35.4608,76.57,82,14,12.55,BR,1696304862
111,woolgoolga,-30.1106,153.2007,89.04,58,0,21.0,AU,1696304862
112,brasileia,-11.0161,-68.7481,79.54,76,99,2.35,BR,1696304863
113,rehoboth,-23.3167,17.0833,68.0,23,5,5.84,NA,1696304863
114,naze,28.3667,129.4833,77.92,88,100,7.92,JP,1696304863
115,papao,-17.75,-149.55,79.66,83,3,14.52,PF,1696304863
116,la ronge,55.1001,-105.2842,44.85,87,100,4.61,CA,1696304863
117,santiago de cuba,20.0247,-75.8219,80.71,89,40,3.44,CU,1696304863
118,usoke,-5.1667,32.35,67.84,45,57,8.08,TZ,1696304864
119,vilyuchinsk,52.9306,158.4028,48.47,81,100,5.82,RU,1696304864
120,sola,-13.8833,167.55,79.47,78,100,6.91,VU,1696304864
121,east london,-33.0153,27.9116,56.34,94,0,3.44,ZA,1696304840
122,karachev,53.1229,34.9852,41.16,92,3,5.19,RU,1696304864
123,pacific grove,36.6177,-121.9166,59.43,87,0,3.44,US,1696304865
124,las vegas,36.175,-115.1372,72.28,35,0,8.01,US,1696304703
125,barra de santo antonio,-9.4047,-35.5072,70.88,83,19,7.56,BR,1696304865
126,ibiza,38.9088,1.433,70.93,88,20,4.61,ES,1696304847
127,bubaque,11.2833,-15.8333,82.62,78,93,6.6,GW,1696304865
128,brokopondo,4.75,-55.1667,82.02,73,70,11.25,SR,1696304865
129,lompoc,34.6391,-120.4579,60.01,87,0,14.0,US,1696304866
130,carupano,10.6678,-63.2585,78.89,88,100,5.41,VE,1696304866
131,quiindy,-25.9667,-57.2667,65.8,51,0,8.41,PY,1696304866
132,port arthur,38.8,121.2667,77.22,56,65,10.09,CN,1696304866
133,genhe,50.7833,121.5167,53.06,56,100,4.14,CN,1696304866
134,kristiansund,63.1115,7.732,48.85,87,100,1.14,NO,1696304866
135,simanggang,1.2472,111.4528,89.58,70,20,3.44,MY,1696304867
136,lensk,60.7253,114.9278,30.72,73,96,8.99,RU,1696304867
137,arraial do cabo,-22.9661,-42.0278,69.01,88,100,2.35,BR,1696304867
138,mata-utu,-13.2816,-176.1745,80.46,83,8,27.0,WF,1696304867
139,komotini,41.1228,25.3964,63.05,61,13,6.6,GR,1696304867
140,anadyr,64.75,177.4833,39.7,48,0,8.95,RU,1696304867
141,joao pinheiro,-17.7425,-46.1725,69.94,85,100,3.31,BR,1696304868
142,carnarvon,-24.8667,113.6333,72.68,33,0,18.66,AU,1696304868
143,nouadhibou,20.931,-17.0347,71.58,73,44,6.91,MR,1696304868
144,glendive,47.1053,-104.7125,60.69,88,20,5.75,US,1696304868
145,crane,31.3974,-102.3501,76.5,68,75,17.34,US,1696304868
146,kenora,49.8167,-94.4337,68.97,83,0,5.75,CA,1696304869
147,launceston,-41.45,147.1667,62.35,88,40,19.57,AU,1696304869
148,summerland,49.5998,-119.6691,57.09,76,75,1.14,CA,1696304869
149,pitimbu,-7.4706,-34.8086,75.79,73,12,9.78,BR,1696304869
150,tongchuanshi,35.0806,109.0897,65.35,67,100,4.52,CN,1696304869
151,west island,-12.1568,96.8225,80.58,65,40,14.97,CC,1696304869
152,lebu,-37.6167,-73.65,48.85,82,92,9.78,CL,1696304870
153,bambanglipuro,-7.95,110.2833,83.82,60,96,12.08,ID,1696304870
154,labuan bajo,-8.4964,119.8877,84.15,67,3,8.01,ID,1696304870
155,sao felix do xingu,-6.6447,-51.995,77.18,47,22,0.96,BR,1696304870
156,vale de cambra,40.8497,-8.3939,64.69,91,39,3.53,PT,1696304870
157,pulsano,40.3821,17.3564,67.82,75,1,3.0,IT,1696304870
158,hillsboro,45.5229,-122.9898,58.01,89,100,11.5,US,1696304871
159,utrik,11.2278,169.8474,83.88,78,34,15.05,MH,1696304871
160,aasiaat,68.7098,-52.8699,14.77,79,20,8.81,GL,1696304871
161,viamao,-30.0811,-51.0233,56.39,84,0,8.05,BR,1696304649
162,chardara,41.2547,67.9692,66.85,29,0,5.97,KZ,1696304871
163,tianpeng,30.9866,103.9393,73.2,74,100,2.84,CN,1696304871
164,juneau,58.3019,-134.4197,51.22,97,100,16.11,US,1696304754
165,zaragoza,41.6561,-0.8773,70.25,75,75,5.75,ES,1696304872
166,preobrazheniye,42.9019,133.9064,66.43,40,26,8.01,RU,1696304872
167,mount gambier,-37.8333,140.7667,58.41,60,54,13.29,AU,1696304872
168,nova sintra,14.8667,-24.7167,73.65,81,14,10.45,CV,1696304872
169,badger,64.8,-147.5333,37.31,67,40,13.8,US,1696304872
170,susuman,62.7833,148.1667,34.99,61,7,4.0,RU,1696304873
171,atafu village,-8.5421,-172.5159,84.25,73,10,12.39,TK,1696304873
172,novyy urgal,51.0736,132.5642,47.98,62,92,1.68,RU,1696304873
173,boa vista,2.8197,-60.6733,87.78,48,0,5.75,BR,1696304654
174,gadzhiyevo,69.2551,33.3362,34.57,78,100,6.53,RU,1696304873
175,georgetown,5.4112,100.3354,90.95,79,20,5.75,MY,1696304869
176,east moriches,40.8051,-72.7609,62.38,85,0,0.0,US,1696304873
177,ati,13.2154,18.3353,83.16,55,97,5.88,TD,1696304874
178,chiang klang,19.2938,100.8617,89.6,60,19,2.66,TH,1696304874
179,nanning,22.8167,108.3167,86.45,62,19,6.2,CN,1696304743
180,sitka,57.0531,-135.33,53.49,82,100,8.05,US,1696304874
181,bodo,67.28,14.405,44.94,90,100,14.97,NO,1696304874
182,melfort,52.8667,-104.6177,42.55,96,73,4.18,CA,1696304874
183,port alfred,-33.5906,26.891,67.89,47,0,7.92,ZA,1696304875
184,saint-pierre,-21.3393,55.4781,77.58,60,40,8.05,RE,1696304875
185,alo,7.4178,6.7371,74.43,98,100,0.98,NG,1696304875
186,pangkalpinang,-2.1333,106.1333,89.28,52,100,10.94,ID,1696304875
187,riberalta,-10.9833,-66.1,80.44,69,48,1.48,BO,1696304875
188,carutapera,-1.195,-46.02,78.8,86,55,7.76,BR,1696304875
189,alofi,-19.0595,-169.9187,73.29,78,100,19.57,NU,1696304876
190,remire-montjoly,4.9167,-52.2667,78.84,89,0,2.3,GF,1696304876
191,photharam,13.6923,99.8497,91.96,90,81,5.99,TH,1696304876
192,khorixas,-20.3667,14.9667,79.03,17,96,5.37,NA,1696304876
193,gamba,-2.65,10.0,75.94,87,89,5.48,GA,1696304876
194,eraan,9.0629,117.7016,88.12,63,100,10.04,PH,1696304876
195,la'ie,21.6477,-157.9253,82.36,74,27,4.0,US,1696304877
196,shakhtersk,48.0625,38.5167,59.41,64,87,12.41,UA,1696304877
197,isafjordur,66.0755,-23.124,33.91,93,100,15.73,IS,1696304877
198,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,85,75,15.01,RU,1696304877
199,heber city,40.5069,-111.4132,44.62,90,0,0.0,US,1696304877
200,illapel,-31.6308,-71.1653,49.89,90,50,2.26,CL,1696304877
201,kavaratti,10.5669,72.642,82.02,74,100,6.85,IN,1696304878
202,temryuk,45.2722,37.3811,61.72,70,2,17.0,RU,1696304878
203,keflavik,64.0049,-22.5624,43.23,75,0,11.5,IS,1696304878
204,klaksvik,62.2266,-6.589,49.12,86,77,11.1,FO,1696304878
205,malindi,-3.2175,40.1191,77.16,83,40,0.0,KE,1696304878
206,udachny,66.4167,112.4,25.45,73,45,11.43,RU,1696304850
207,ulladulla,-35.35,150.4667,89.76,33,98,4.54,AU,1696304879
208,gritsovskiy,54.1376,38.1604,50.77,76,68,5.82,RU,1696304879
209,enewetak,11.3474,162.3373,83.43,77,100,10.2,MH,1696304879
210,twon-brass,4.3151,6.2418,80.33,81,86,10.76,NG,1696304879
211,fu'an,27.0892,119.6453,86.59,56,23,1.01,CN,1696304879
212,karratha,-20.7377,116.8463,90.99,22,50,13.27,AU,1696304879
213,poronaysk,49.2167,143.1167,51.3,90,100,20.36,RU,1696304880
214,sisimiut,66.9395,-53.6735,33.1,60,3,5.14,GL,1696304880
215,gasteiz / vitoria,42.85,-2.6667,63.28,94,10,3.44,ES,1696304880
216,kudepsta,43.4944,39.8964,60.85,87,97,7.0,RU,1696304880
217,yuzhno-kurilsk,44.0306,145.8556,58.37,74,43,23.26,RU,1696304880
218,kayes,14.0,-11.0,76.28,75,100,4.92,ML,1696304880
219,flin flon,54.7682,-101.865,43.29,97,100,3.76,CA,1696304881
